"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18"
"ENSG00000000003",755.2,785.05,949,564.5,591.05,486.49,266.26,175,259,756,786.01,824,588.96,583.94,298.01,339,804,411.34
"ENSG00000000005",2,1,2,0,0,0,3,2,0,1,0,0,1,1,0,0,0,0
"ENSG00000000419",79.01,93,111.02,93,126,73,47,24,40,81,77,89.36,161,145.03,78,65,73,59
"ENSG00000000457",68,86.02,138.46,120,115.38,102,44,37.95,21,145,176.44,155.07,198,141.98,84,64.39,89.28,84.98
"ENSG00000000460",11,15,11,3,14,7,13,8.38,0,10,15,16,14.8,15,5,8,15,11
"ENSG00000000938",4,9,5,5,7,9,10,3,7,1,0,2,31,68,29,21,10,16
"ENSG00000000971",3431.66,4225.64,5295.27,7815.43,5976.64,5267.74,1406.36,1098.66,1284.08,9460.71,9532.77,9899.4,8454.8,7566.94,3619.14,4316.35,5184.17,4624.85
"ENSG00000001036",179.06,223.55,284.43,398.99,369,318,87,76,47,331.32,408.79,454,292.02,321,169,303.01,255,216
"ENSG00000001084",291.77,329.04,408.63,599.88,752.77,598.21,118,78,109,505.99,603.76,569.98,670.01,612.4,343.65,546.98,557.95,492.03
"ENSG00000001167",124.99,163.25,171.99,168.97,189,134,66,49,45,181,232,216,201,204.49,107.99,126,135.85,126
"ENSG00000001460",19,18,20,17.07,18.99,23,19,15,11,22,18,19,15.18,31,12,10,27,15
"ENSG00000001461",77,84.91,117,135.97,125.7,95.92,43,30,31,111.97,104,114,101,116,73,44,65,50.33
"ENSG00000001497",104,148,188.51,193.03,230,184.28,95.41,65,71,155,173,178,218,279,161,178.93,173,155.81
"ENSG00000001561",45,48.99,72,78,81.19,54.04,22,22,14,99.97,88,109,78.62,46,49,52,53,62
"ENSG00000001617",2,1,0,2,0,1,5,4,2,1,0,0,6,1,1,4,5,4
"ENSG00000001626",17,8,16,3,5,1,7,15,8,24.54,13,2,9,11,1,7,4,5
"ENSG00000001629",154.99,218.72,249.84,253.66,316,232.57,73,40,50.12,273,275,284,275,235.18,140,175,218,150.99
"ENSG00000001630",991.43,937.96,1265.62,920.46,967.48,815.72,406.07,303.59,449.83,1447.35,1425.98,1504.57,2803.1,2125.02,1124.96,877.53,1027.15,887.9
"ENSG00000001631",163.07,179.79,121.27,125.33,122.53,118.28,70.15,29.46,77,183.44,216.66,207.13,196.67,216.81,113.36,130.67,124.93,100.84
"ENSG00000002016",15.52,31.29,25.99,31,21.17,23,19.55,13.01,8,23,31,31,34,38.29,36,21,17,22
"ENSG00000002330",4,9,14,44,32,51,5,8,6,30,38,34,88,101,50,49.77,25,22
"ENSG00000002549",159.71,222.3,312.53,318.89,296.62,242.37,94.76,64.84,58.51,288.8,331.1,362.87,417.71,392.79,246.57,215.37,194.32,160.08
"ENSG00000002586",221,282.85,378.03,513.27,489.24,503,153,101,62,403,518.08,538.01,484.63,523,319,308,304,261
"ENSG00000002587",6,4,1,0,1,1,7,11,7,0,1,1,6,3,0,2,0,0
"ENSG00000002726",4,3,0,1,1,2,14,5,1,1,3,0,3,5,1,3,0,0
"ENSG00000002745",2,3,2,0,1,0,6,7,1,0,0,0,1,3,2,0,0,0
"ENSG00000002746",14,4,8,0,2,0,19,15,18,3,2,3,10,9,7,4,0,1
